ClientSK;Solde_Compte;Nb_Produits;Nb_Credits_Actifs;Nb_Transactions_Mois;Montant_Transaction_Moyen;Nb_Retraits_GAB_Mois;Nb_Paiements_CB_Mois;Taux_Utilisation_Decouvert;Nb_Connexions_App_Mois;Nb_Virements_En_Ligne_Mois;Score_Satisfaction;Nb_Reclamations_12mois;Solde_Moyen_3mois;Nb_Produits_Resilies_12mois;SegmentID;PackID;Age;Score_Credit;Anciennete_Annees;GouvernoratID;A_Quitte
40032;146377.85;5;0;38;3052.72;7;29;31.1;1;1;2;3;139856.30;3;3;7;41;390;8;7;1
40033;182723.16;5;2;39;2776.47;14;22;7.5;5;0;4;0;190917.70;0;1;7;74;645;2;6;0
40034;22657.10;1;0;13;593.80;8;11;39.2;22;8;3;0;22506.10;0;4;5;45;689;4;1;0
40035;687616.95;7;1;27;381.79;8;0;16.7;53;8;5;0;737937.95;0;1;7;65;732;3;10;0
40036;233307.85;3;1;42;2690.85;7;31;42.1;6;1;4;1;215970.80;0;3;7;55;479;6;6;0
40037;35341.99;6;1;11;378.63;13;9;32.4;33;9;5;0;38900.14;0;2;7;64;501;3;15;0
40038;32829.50;6;0;29;559.51;13;11;36.1;33;14;3;1;36301.97;0;2;3;20;302;3;2;0
40039;101090.64;3;1;32;942.60;9;21;47.4;1;2;4;0;87069.43;0;2;5;18;577;3;14;0
40040;106476.50;2;1;18;413.06;5;9;51.4;32;3;4;0;95699.64;4;2;7;71;846;3;14;1
40041;18477.29;1;1;17;358.51;14;12;0.0;32;10;3;0;19542.44;0;4;1;44;612;7;1;0
40042;5022.64;3;2;1;446.85;4;1;39.8;0;7;4;0;4591.99;0;4;5;49;773;3;6;0
40043;140859.42;5;2;27;3394.79;7;21;17.1;36;7;4;0;124404.48;0;1;3;60;686;3;1;0
40044;243800.30;3;0;48;2931.20;7;21;25.6;33;1;4;0;213783.66;0;3;7;22;801;5;13;0
40045;109139.50;4;0;30;1109.07;7;17;0.0;0;0;4;0;98208.26;2;2;7;51;796;8;6;1
40046;222759.78;7;1;43;1478.81;4;22;16.5;3;1;4;0;196613.85;0;1;7;64;495;4;13;0
40047;14226.69;1;0;3;770.39;4;4;29.0;20;10;4;1;16300.39;2;4;6;56;469;8;22;1
40048;4748.53;2;0;0;258.10;6;0;99.6;9;0;3;1;4632.64;0;4;6;72;792;2;18;0
40049;96826.07;5;1;34;832.66;6;21;68.5;29;9;3;0;88609.48;0;2;7;27;365;5;5;0
40050;837.19;2;0;6;161.08;16;9;39.0;29;1;4;0;819.13;0;4;5;71;638;4;4;0
40051;2013.78;1;0;15;529.20;0;19;9.7;42;9;4;0;2117.89;2;4;1;27;334;5;12;1
40052;76836.08;6;0;30;1416.86;8;19;10.0;26;14;4;0;86722.97;0;2;3;63;368;3;2;0
40053;5898.13;2;3;29;458.05;7;17;0.0;19;0;4;0;5134.73;0;4;1;52;585;5;10;0
40054;23540.52;1;2;14;389.50;10;11;30.2;33;12;5;0;25336.73;2;4;6;55;764;7;2;1
40055;124462.94;5;2;33;1827.33;9;20;0.0;45;11;4;0;129512.51;0;3;4;61;365;4;13;0
40056;709.55;1;1;21;670.71;3;11;39.8;1;0;3;0;718.43;0;4;1;69;410;6;15;0
40057;55480.79;3;0;37;529.96;2;20;27.3;30;1;5;0;57393.17;2;2;5;70;449;6;6;1
40058;2374.06;2;1;19;710.00;11;15;14.5;22;8;4;0;2341.82;0;4;1;36;505;2;14;0
40059;8751.49;1;1;4;98.64;8;0;53.3;23;10;3;0;9499.13;0;4;1;24;549;2;10;0
40060;20844.43;4;0;8;53.33;6;7;12.7;20;8;5;0;20075.98;0;4;2;35;359;4;13;0
40061;113665.69;2;1;29;220.35;5;20;37.7;3;1;3;0;122675.19;1;2;5;26;839;3;19;1
40062;108169.15;2;3;40;1383.42;13;27;72.9;44;10;4;0;116378.73;0;2;7;64;352;2;4;0
40063;6822.29;1;1;16;214.31;13;11;15.4;25;13;4;0;5875.28;1;4;2;69;703;4;6;0
40064;160220.10;5;2;35;1138.09;4;11;30.4;34;9;4;0;163158.47;0;3;3;67;704;3;1;0
40065;100120.17;4;1;33;2064.48;6;15;54.0;39;7;4;1;88217.09;0;3;3;67;472;6;7;0
40066;23698.30;2;0;8;187.97;8;10;33.1;7;0;3;0;25695.12;2;4;5;54;637;6;6;1
40067;8120.62;2;1;0;164.40;4;0;33.4;5;0;3;0;7425.03;1;4;1;70;339;5;14;1
40068;21993.88;5;0;33;1254.75;15;24;73.6;0;0;3;1;19517.52;0;2;5;40;379;6;13;0
40069;269812.59;4;1;43;1789.95;6;17;31.1;19;3;4;1;245699.24;2;1;7;21;814;8;21;1
40070;165110.59;5;2;48;2116.30;9;37;57.7;18;5;4;1;180453.97;0;3;7;27;520;8;16;0
40071;45244.44;3;1;33;1538.38;6;15;0.0;1;1;4;0;44344.31;0;2;5;50;514;3;13;0
40072;102910.18;8;1;43;1842.80;9;21;31.9;30;12;5;0;98980.22;0;1;7;60;638;5;1;0
40073;176089.83;4;0;49;1700.52;14;29;67.8;21;2;4;0;174129.88;0;3;7;26;489;8;7;0
40074;10700.50;1;2;17;405.04;7;12;52.7;25;12;3;1;9292.67;0;4;2;48;824;4;7;0
40075;32250.97;3;1;39;651.76;9;28;60.3;17;10;3;2;29897.45;1;2;7;63;848;3;9;1
40076;1192.53;2;0;19;325.45;4;6;24.8;23;7;3;1;1270.54;0;4;2;44;808;6;1;0
40077;3195.43;2;0;18;151.11;7;11;30.3;34;13;3;2;2845.12;0;4;2;60;325;5;5;0
40078;33724.56;5;1;22;1448.32;4;10;29.8;0;0;5;0;37484.18;0;2;5;46;390;7;6;0
40079;40715.48;7;0;34;1316.11;10;23;36.5;34;7;4;1;41065.60;0;3;4;49;710;3;2;0
40080;111280.84;4;0;38;1605.74;12;23;85.0;35;11;4;0;112081.42;0;2;3;55;596;8;22;0
40081;679820.39;8;0;32;3201.97;9;16;76.0;46;12;5;0;733984.40;0;1;3;35;791;8;3;0
40082;15329.42;1;3;4;367.55;10;0;50.8;29;7;4;1;17229.61;1;4;6;40;795;7;6;1
40083;3570.40;1;2;28;94.54;6;22;4.4;22;5;4;0;3853.48;0;4;6;61;545;8;3;0
40084;135096.23;6;1;50;1458.21;6;32;30.3;31;8;4;0;115041.16;0;3;4;45;704;2;5;0
40085;23241.66;1;0;13;114.30;6;2;5.1;38;6;3;0;22065.33;0;4;2;55;410;7;2;0
40086;17152.68;1;0;22;770.65;10;11;37.8;22;5;3;0;19238.24;3;4;1;68;796;4;13;1
40087;583821.72;5;2;29;339.38;9;18;84.0;16;4;5;0;647670.20;0;1;7;73;353;4;4;0
40088;9243.86;3;0;16;416.89;12;8;3.8;0;0;3;1;10495.50;1;4;6;55;537;6;7;1
40089;119585.56;3;0;22;1440.79;2;12;0.0;7;0;2;1;104683.91;2;2;7;56;749;5;13;1
40090;6921.58;2;1;20;468.17;8;0;15.6;28;9;4;0;7075.06;0;4;2;72;353;3;6;0
40091;102065.23;4;1;36;1356.15;7;15;26.7;15;10;4;0;114964.99;0;2;7;68;576;8;18;0
40092;277918.17;6;0;24;4569.51;7;18;44.4;1;1;4;0;273828.09;1;1;7;65;785;8;21;0
40093;331066.94;8;3;35;2728.79;2;24;6.0;36;10;5;0;290592.68;0;1;3;21;434;3;14;0
40094;119818.75;5;1;45;2932.75;10;31;9.1;7;1;4;0;114550.06;0;3;4;74;761;3;7;0
40095;22692.27;2;1;10;766.09;14;4;1.5;18;8;3;0;24883.50;0;4;5;63;555;4;14;0
40096;55716.99;6;0;40;2892.25;9;37;29.3;37;7;4;1;51827.98;0;3;7;31;502;6;1;0
40097;23548.04;2;1;4;637.78;1;12;0.0;4;0;4;0;20244.03;3;4;2;40;814;7;13;1
40098;34358.02;6;0;40;318.68;3;24;26.6;2;0;4;0;38832.02;2;2;3;54;494;8;13;0
40099;115008.87;4;1;40;2010.63;2;20;55.6;2;0;4;0;104678.04;0;3;7;41;822;3;15;0
40100;83123.58;4;1;36;1854.57;9;27;36.0;7;3;5;0;77877.05;1;2;3;53;688;8;11;0
40101;14711.74;2;0;15;741.04;7;9;22.1;20;12;5;0;13770.57;3;4;6;73;697;7;14;1
40102;7655.08;1;0;16;422.93;15;0;25.2;45;10;3;0;7100.17;2;4;6;55;547;8;1;1
40103;16282.56;1;0;15;155.61;5;11;55.3;36;12;5;0;14637.53;2;4;6;56;501;6;2;1
40104;93379.74;7;1;36;1101.08;11;19;13.8;44;10;4;1;91334.42;0;1;7;22;428;7;6;0
40105;8382.80;1;1;24;355.84;5;9;34.1;0;0;4;0;7995.44;1;4;2;69;409;8;21;0
40106;147493.73;6;0;40;2250.99;2;29;0.0;12;7;4;0;135727.39;0;3;3;22;585;3;7;0
40107;126155.04;5;0;51;750.48;8;33;19.3;4;2;5;0;131456.96;0;3;4;48;774;8;14;0
40108;7762.29;4;1;20;766.47;10;2;57.7;48;10;3;0;8258.86;1;4;1;24;834;7;15;1
40109;21227.59;4;1;4;511.42;11;0;0.0;36;6;5;0;19756.41;0;4;5;30;567;4;17;0
40110;22007.49;1;1;13;109.09;14;10;17.8;44;0;3;0;20839.11;0;4;2;63;746;2;7;0
40111;23460.65;1;0;12;213.32;6;6;37.7;13;8;5;0;21169.53;0;4;5;57;389;4;3;0
40112;83394.38;2;0;23;1711.41;9;13;19.3;24;2;3;1;88293.43;1;2;7;72;785;3;21;1
40113;87226.28;4;0;38;418.57;10;11;71.7;21;7;5;0;78745.08;0;3;4;73;837;7;3;0
40114;21799.36;2;1;0;706.45;16;0;68.4;27;5;4;0;19290.26;1;4;6;19;719;2;7;0
40115;11346.02;1;0;24;89.39;10;17;34.7;4;2;4;0;10256.04;2;4;5;40;528;2;18;1
40116;171065.05;5;3;39;344.37;8;25;47.5;38;7;3;1;170085.06;0;3;3;25;435;2;6;0
40117;127649.83;5;0;32;1106.19;2;15;7.0;1;0;4;0;111436.23;0;3;3;72;553;7;7;0
40118;167728.17;6;3;52;3198.35;0;31;26.5;3;0;3;0;147027.82;0;3;3;48;453;2;15;0
40119;180830.85;4;2;30;1661.41;12;16;10.4;36;5;4;0;170870.27;0;3;4;43;806;6;6;0
40120;15985.61;1;0;4;577.20;11;0;91.1;23;10;4;0;18090.82;4;4;6;20;729;2;6;1
40121;54170.46;4;0;21;1013.23;14;22;14.9;4;0;4;1;60579.66;1;2;7;32;430;4;10;0
40122;197878.01;6;0;38;1468.82;4;33;11.9;1;0;4;1;212952.23;2;3;3;60;369;2;10;0
40123;166106.60;4;0;41;1805.66;2;24;60.5;6;0;4;0;148657.70;0;3;4;31;540;4;8;0
40124;45329.04;4;3;33;1815.88;6;21;17.4;17;2;4;3;46204.74;1;2;3;73;366;7;7;0
40125;6199.15;1;0;25;376.77;4;11;70.0;36;6;3;0;6040.98;1;4;2;19;421;6;10;1
40126;4912.60;3;0;20;617.47;14;18;20.5;2;0;3;0;4635.48;1;4;5;73;578;4;6;0
40127;212170.55;3;0;28;787.62;14;14;21.0;0;0;4;0;195565.46;0;3;3;45;509;8;9;0
40128;383832.72;8;4;34;1214.00;1;17;44.2;26;3;4;0;431078.27;1;1;3;58;843;8;6;0
40129;2121.72;1;0;2;316.08;7;2;8.6;34;8;4;0;2434.00;0;4;1;26;631;6;13;0
40130;12763.56;1;0;10;292.02;10;8;76.2;2;0;3;0;11593.17;0;4;2;20;713;8;6;0
40131;73802.66;6;2;8;664.51;5;4;36.1;10;0;4;0;75792.62;0;2;7;20;523;7;6;0
40132;37419.08;2;0;37;184.84;6;21;33.9;5;1;4;0;37682.87;0;2;3;31;765;5;13;0
40133;21940.50;2;2;14;598.00;9;1;0.0;32;6;4;0;24402.68;0;4;2;43;590;4;13;0
40134;16705.31;1;0;16;168.10;10;3;42.1;50;5;3;0;18896.04;1;4;5;58;645;2;16;0
40135;152439.94;3;1;37;574.45;5;16;40.1;41;4;4;2;151211.25;0;3;3;22;540;6;7;0
40136;9412.41;3;0;19;248.58;4;2;15.7;35;8;4;0;9497.66;0;4;6;34;563;6;14;0
40137;12264.74;1;0;15;520.69;13;7;17.7;20;0;4;0;13618.00;0;4;5;33;810;4;10;0
40138;14024.32;4;0;22;85.30;3;2;12.8;3;2;4;0;15691.02;0;4;5;39;444;5;5;0
40139;8762.21;1;1;27;216.13;10;12;17.7;1;1;4;0;8446.57;0;4;5;43;415;4;6;0
40140;35637.34;4;2;37;2837.93;11;18;40.4;26;1;3;0;38002.01;1;3;4;45;786;6;15;0
40141;9332.66;1;1;14;274.25;11;9;54.3;3;1;3;0;9174.06;0;4;1;45;705;8;16;0
40142;133804.22;6;1;35;3313.03;10;21;51.8;3;0;5;0;129335.22;1;1;3;74;687;6;7;0
40143;3200.01;1;1;22;108.00;13;7;23.6;29;3;4;0;3087.61;1;4;5;63;756;6;20;1
40144;13211.62;2;0;19;110.47;11;17;29.2;2;0;4;0;11811.85;0;4;1;67;807;4;4;0
40145;99077.03;4;0;36;1025.71;10;19;78.4;27;8;4;0;100287.83;0;2;5;46;762;3;13;0
40146;67057.39;6;0;42;845.81;5;24;0.0;12;0;4;0;75583.28;0;3;7;64;501;4;4;0
40147;20383.87;3;1;33;634.13;11;17;15.5;28;6;5;0;20265.96;0;2;3;43;411;7;13;0
40148;624995.09;7;0;48;1803.10;4;33;19.7;5;3;3;0;714692.31;0;1;3;69;578;2;7;0
40149;42408.91;6;0;44;2067.54;7;25;46.5;17;14;5;0;47794.20;0;3;7;51;644;6;7;0
40150;14180.18;2;1;5;435.07;2;15;36.7;45;4;4;0;12311.43;0;4;1;41;791;5;14;0
40151;22962.82;2;0;9;141.91;5;6;48.6;29;0;5;0;21935.91;0;4;2;25;549;6;17;0
40152;64628.04;5;1;54;2567.31;4;33;0.0;4;0;4;2;66946.41;1;3;4;36;450;8;5;1
40153;50702.33;2;0;25;1353.62;14;13;25.8;35;12;5;0;44204.30;1;2;5;31;451;5;10;0
40154;28513.55;3;1;20;1750.62;13;2;46.6;36;4;4;0;25579.50;0;2;5;22;713;5;3;0
40155;17000.32;2;3;16;228.25;4;9;56.9;25;7;3;0;14795.49;0;4;1;54;500;3;2;0
40156;23241.51;3;0;10;229.67;4;1;16.0;40;12;2;3;24081.71;1;4;5;65;804;5;15;1
40157;12246.52;2;0;26;442.73;6;19;7.7;6;0;4;0;13904.69;0;4;2;30;385;5;6;0
40158;20632.28;2;1;4;707.27;10;4;0.0;35;7;4;0;21307.26;0;4;2;31;463;7;1;0
40159;18833.96;1;1;13;382.21;4;0;16.3;26;6;4;1;16607.04;0;4;2;18;745;4;7;0
40160;16141.19;1;1;24;50.93;5;15;0.0;2;0;4;0;16697.15;2;4;5;40;339;8;1;1
40161;105002.64;5;0;30;1318.34;5;24;36.2;23;4;5;0;91728.72;0;2;3;65;350;8;4;0
40162;9832.29;2;2;30;554.07;15;15;46.7;7;0;4;0;11065.17;0;4;5;25;699;5;14;0
40163;79333.86;3;1;33;1212.79;1;25;45.8;42;12;4;1;82225.16;0;2;3;34;618;5;10;0
40164;23255.56;4;0;9;156.41;0;10;33.6;43;5;4;1;24279.24;0;4;2;53;403;5;6;0
40165;593827.66;7;2;30;2565.54;4;15;44.4;2;1;5;0;642846.38;0;1;7;30;826;7;10;0
40166;150022.33;5;1;20;1807.67;9;24;30.8;0;2;4;0;148107.95;1;3;4;61;752;2;13;0
40167;6677.30;1;1;17;93.53;15;7;0.0;40;5;5;0;6452.36;3;4;5;35;752;4;7;1
40168;125230.68;6;1;27;526.10;14;21;36.6;14;1;5;0;129229.25;0;3;7;32;454;8;6;0
40169;71277.32;4;1;33;1553.21;5;20;38.0;8;2;3;0;70799.03;0;3;3;64;456;8;1;0
40170;208976.44;5;0;23;2356.19;9;14;44.6;9;0;4;1;214033.38;0;3;7;64;493;7;5;0
40171;47703.30;4;0;28;1406.79;4;19;23.7;3;0;4;0;53456.42;1;2;7;46;488;7;9;0
40172;47494.45;3;0;28;1045.15;5;18;50.8;31;9;4;1;49474.44;0;2;5;72;307;6;1;0
40173;186479.67;6;0;38;1758.37;18;23;46.8;17;10;5;1;206034.85;0;3;3;32;492;3;10;0
40174;4049.21;3;2;12;431.38;10;8;15.0;3;2;4;0;3967.37;0;4;6;67;378;7;4;0
40175;9351.86;3;0;24;99.05;4;10;51.7;28;11;4;2;10370.55;0;4;6;44;791;7;6;0
40176;69542.19;6;0;28;632.77;8;14;12.8;0;1;4;0;76008.32;0;2;5;47;544;8;4;0
40177;32739.67;5;0;35;1624.35;4;24;22.0;17;5;5;0;36391.54;0;2;3;44;740;8;6;0
40178;96945.30;3;0;33;1596.76;4;16;54.2;34;1;4;1;83871.22;0;2;5;43;388;3;2;0
40179;23491.28;1;1;6;177.94;9;4;24.9;34;8;3;2;23036.18;0;4;2;29;826;3;13;0
40180;2665.43;2;1;22;523.60;9;17;35.0;23;11;3;0;2956.98;0;4;2;68;568;5;1;0
40181;2981.45;3;0;17;100.68;5;6;22.3;27;13;4;1;2536.64;0;4;5;19;630;4;1;0
40182;30583.36;7;0;31;1281.59;11;26;61.7;2;0;5;0;31432.91;0;3;4;69;791;7;6;0
40183;5665.37;2;0;21;341.54;2;13;47.0;26;13;4;0;5635.82;0;4;6;23;448;4;7;0
40184;13195.21;1;0;16;204.72;9;9;0.0;30;5;4;0;13234.15;1;4;6;32;444;7;4;1
40185;58126.44;4;1;27;1664.59;7;14;49.5;27;5;2;4;50297.82;4;3;4;56;747;5;6;1
40186;50244.33;4;0;41;2752.20;7;22;48.3;7;0;5;0;47791.81;0;3;4;22;419;4;7;0
40187;24240.56;4;1;38;363.01;8;15;3.4;15;7;5;0;25848.74;0;3;4;21;402;7;6;0
40188;11242.87;3;0;17;187.27;9;12;54.2;2;0;3;1;10292.78;1;4;1;75;527;3;10;0
40189;90798.94;7;0;46;2147.59;11;19;42.7;18;5;5;0;81224.85;0;3;7;50;781;3;20;0
40190;13751.22;1;0;3;785.10;13;3;16.5;2;0;4;1;12410.20;0;4;5;42;636;7;8;0
40191;51599.42;3;0;42;1910.01;8;16;12.2;4;1;4;1;51157.88;0;2;3;60;617;4;18;0
40192;57030.23;4;0;38;1700.58;9;20;14.2;49;10;4;0;56396.16;1;3;7;19;724;2;6;0
40193;84795.16;4;2;21;1737.43;6;8;46.9;24;11;4;1;83613.83;1;2;7;18;585;8;16;0
40194;81578.26;4;0;39;1893.48;11;25;6.3;2;2;3;0;83905.69;0;3;7;57;833;5;21;0
40195;5007.44;1;0;18;429.90;13;8;40.9;15;8;4;0;4409.31;2;4;2;32;482;3;7;1
40196;117540.35;7;0;47;491.33;12;27;63.2;0;0;5;1;112322.51;0;3;3;60;569;2;6;0
40197;19972.07;4;0;20;455.49;0;10;41.7;40;15;4;0;21302.00;0;2;5;25;821;6;3;0
40198;4446.91;3;0;4;301.11;9;1;47.8;41;11;4;0;4716.59;4;4;5;60;416;4;14;1
40199;86058.17;2;0;26;237.35;13;11;70.8;30;1;4;0;79746.14;1;2;3;55;691;5;9;0
40200;87749.74;4;2;34;1981.75;1;20;31.4;9;5;4;0;76473.01;4;3;4;20;441;3;18;1
40201;18097.33;3;1;20;714.61;8;6;38.9;25;8;5;0;20600.30;0;4;2;26;386;6;15;0
40202;105599.51;6;0;34;758.60;5;22;16.6;11;2;5;0;120332.82;0;3;4;56;659;4;15;0
40203;23497.68;1;0;2;174.64;9;0;61.7;28;5;3;0;24287.54;0;4;1;58;402;5;15;0
40204;23722.83;1;0;4;676.88;4;0;12.7;26;12;2;0;25619.17;3;4;6;31;533;7;24;1
40205;55065.61;5;1;32;1091.78;1;21;19.1;34;14;5;0;46994.01;1;2;3;73;418;7;3;0
40206;121355.66;4;1;37;641.70;12;17;74.6;35;10;4;1;103780.49;0;3;7;66;644;8;14;0
40207;15180.42;3;1;14;482.91;9;3;12.8;37;5;3;0;13470.92;0;4;5;35;540;3;2;0
40208;12560.21;2;0;2;257.17;3;0;71.5;9;0;5;0;13705.99;1;4;5;55;711;6;7;1
40209;182649.73;3;3;57;1930.46;6;37;35.2;3;0;3;0;159781.76;0;3;4;68;805;7;15;0
40210;26578.32;4;2;23;1843.89;10;15;58.8;0;0;3;2;29758.84;0;2;5;65;415;7;17;0
40211;243344.74;5;2;42;2512.44;12;28;46.0;8;3;5;0;228237.91;0;3;4;73;408;5;8;0
40212;31056.44;5;2;30;252.41;14;11;10.5;9;6;4;0;30435.81;0;3;3;68;399;6;19;0
40213;15887.85;3;0;19;546.52;10;4;37.7;31;6;4;0;13877.41;0;4;2;74;500;3;3;0
40214;66314.08;5;1;22;495.94;7;7;22.3;14;12;4;0;73779.90;0;2;3;65;537;4;19;0
40215;17382.82;1;1;5;96.38;9;4;33.0;39;11;3;0;17125.23;4;4;2;59;842;6;22;1
40216;11649.04;3;1;28;782.03;10;13;47.8;20;10;3;1;10870.76;0;4;2;69;760;3;13;0
40217;153265.55;7;1;45;880.34;11;8;43.9;6;0;3;3;153783.65;1;3;3;62;722;8;8;0
40218;2528.95;3;1;13;119.02;10;8;31.4;17;12;5;0;2369.26;0;4;2;63;733;2;6;0
40219;12038.82;3;1;14;691.50;9;0;27.0;15;11;3;0;12645.87;1;4;6;25;659;2;1;0
40220;104074.37;5;2;34;2958.70;9;24;80.9;3;1;4;0;119635.87;0;3;7;25;524;5;12;0
40221;202371.36;5;1;33;2820.04;9;27;96.8;0;0;4;2;206884.23;2;3;7;28;667;4;4;1
40222;230576.32;6;0;35;641.05;8;16;24.6;28;7;5;0;212425.72;0;3;4;32;648;7;7;0
40223;84309.11;2;3;31;1431.94;0;25;0.0;2;2;4;0;78657.67;0;2;5;59;480;3;15;0
40224;50589.33;3;0;24;1794.16;16;16;48.9;17;7;3;0;49180.43;0;2;5;39;476;2;14;0
40225;11311.34;2;1;21;713.82;11;15;9.1;22;5;4;1;12615.52;1;4;1;49;819;5;7;1
40226;85551.41;5;0;25;1718.14;9;11;46.1;42;13;4;0;84975.07;0;2;5;66;737;4;3;0
40227;22444.21;2;0;19;448.90;12;16;19.4;34;0;2;1;22774.41;0;4;5;71;568;3;3;0
40228;549953.84;5;1;46;3125.30;4;28;32.1;19;10;4;0;605009.28;2;1;3;56;592;2;2;0
40229;756169.05;6;1;45;2314.54;10;28;23.1;1;1;3;2;770883.30;1;1;7;19;706;4;15;1
40230;22335.37;2;0;7;532.87;7;0;44.4;20;7;4;0;23208.51;0;4;5;62;325;3;1;0
40231;12511.41;1;0;2;274.89;13;4;61.2;3;0;4;0;10674.61;1;4;5;55;728;4;5;1
40232;107323.65;4;0;33;1751.60;8;15;81.5;17;11;5;0;97253.72;0;2;3;58;729;6;12;0
40233;15583.49;2;0;25;351.85;10;16;36.3;23;2;3;1;17827.41;0;4;5;40;759;3;6;0
40234;177132.40;6;0;21;2378.22;11;18;32.4;2;2;4;0;155086.79;0;3;7;61;535;5;1;0
40235;26290.73;4;2;33;1681.05;9;15;46.0;3;0;3;0;29969.42;0;2;5;26;795;3;19;0
40236;16367.64;4;2;5;515.18;1;0;47.7;37;14;4;0;16138.97;0;4;2;71;772;8;6;0
40237;241170.70;6;2;34;590.98;14;15;72.6;35;8;4;0;239705.88;0;3;7;68;344;4;1;0
40238;16925.69;1;0;8;517.47;4;1;46.9;3;0;3;0;18646.52;0;4;6;52;703;6;1;0
40239;70687.74;5;0;50;233.66;5;22;0.0;35;3;4;0;65207.17;0;3;7;32;310;4;3;0
40240;457849.97;8;2;33;823.02;4;13;29.1;15;0;5;0;438773.35;1;1;7;56;394;4;19;0
40241;69296.05;3;0;30;390.52;7;19;67.9;16;7;4;0;59776.80;1;2;7;26;327;8;6;1
40242;184720.44;3;0;29;2453.82;11;21;50.3;3;1;4;0;209480.33;0;3;3;69;413;5;6;0
40243;198716.76;5;0;51;2260.80;9;31;36.8;6;15;5;0;226794.41;0;3;3;18;385;2;6;0
40244;3358.42;4;0;28;762.58;3;13;28.9;26;7;4;0;3246.11;0;4;6;41;560;8;7;0
