ClientSK;Score_Churn;Classe_Risque
40150;0.0;Faible
40151;0.0;Faible
40153;23.1;Faible
40154;0.0;Faible
40155;0.0;Faible
40157;0.0;Faible
40158;0.0;Faible
40159;0.0;Faible
40161;0.0;Faible
40162;0.0;Faible
40163;0.0;Faible
40164;0.0;Faible
40165;0.0;Faible
40166;11.7;Faible
40168;0.0;Faible
40169;0.0;Faible
40170;0.0;Faible
40171;36.0;Modere
40172;0.0;Faible
40173;0.0;Faible
40174;0.0;Faible
40175;0.0;Faible
40176;0.0;Faible
40177;0.0;Faible
40178;0.0;Faible
40179;0.1;Faible
40180;0.0;Faible
40181;0.0;Faible
40182;0.0;Faible
40183;0.0;Faible
40186;0.0;Faible
40187;0.0;Faible
40188;47.4;Modere
40189;0.0;Faible
40190;0.0;Faible
40191;0.0;Faible
40192;24.2;Faible
40193;32.1;Modere
40194;0.0;Faible
40196;0.0;Faible
40197;0.0;Faible
40199;33.6;Modere
40201;0.0;Faible
40202;0.0;Faible
40203;0.0;Faible
40205;2.9;Faible
40206;0.0;Faible
40207;0.0;Faible
40209;0.0;Faible
40210;0.0;Faible
40211;0.0;Faible
40212;0.0;Faible
40213;0.0;Faible
40214;0.0;Faible
40216;0.0;Faible
40217;59.7;Eleve
40218;0.0;Faible
40219;45.3;Modere
40220;0.0;Faible
40222;0.0;Faible
40223;0.0;Faible
40224;0.0;Faible
40226;0.0;Faible
40227;0.0;Faible
40228;23.3;Faible
40230;0.0;Faible
40232;0.0;Faible
40233;0.0;Faible
40234;0.0;Faible
40235;0.0;Faible
40236;0.0;Faible
40237;0.0;Faible
40238;0.0;Faible
40239;0.0;Faible
40240;7.0;Faible
40242;0.0;Faible
40243;0.0;Faible
40244;0.0;Faible
40245;0.0;Faible
40247;0.0;Faible
40250;0.0;Faible
40251;36.7;Modere
40252;0.0;Faible
40253;0.0;Faible
40254;0.0;Faible
40255;0.0;Faible
40256;0.0;Faible
40257;0.0;Faible
40258;0.0;Faible
40259;0.0;Faible
40260;0.0;Faible
40261;0.0;Faible
40262;0.0;Faible
40263;0.0;Faible
40264;0.0;Faible
40265;0.0;Faible
40266;36.0;Modere
40267;0.0;Faible
40268;0.0;Faible
40270;0.0;Faible
40271;32.6;Modere
40275;0.0;Faible
40276;0.0;Faible
40277;0.0;Faible
40278;0.0;Faible
40279;0.0;Faible
40280;6.9;Faible
40281;0.0;Faible
40283;0.0;Faible
40284;0.0;Faible
40285;0.0;Faible
40286;0.0;Faible
40287;0.0;Faible
40288;0.0;Faible
40289;0.0;Faible
40290;0.0;Faible
40292;0.0;Faible
40293;0.0;Faible
40294;0.0;Faible
40295;63.1;Eleve
40296;0.0;Faible
40297;0.0;Faible
40299;53.4;Eleve
40302;0.0;Faible
40304;0.0;Faible
40308;0.0;Faible
40311;0.0;Faible
40312;0.0;Faible
40314;0.0;Faible
40315;0.0;Faible
40317;0.0;Faible
40318;0.0;Faible
40319;0.0;Faible
40321;14.8;Faible
40322;0.0;Faible
40325;0.0;Faible
40327;0.0;Faible
40328;0.0;Faible
40329;31.7;Modere
40330;0.0;Faible
40331;0.0;Faible
40334;0.0;Faible
40335;0.0;Faible
40337;0.0;Faible
40338;0.0;Faible
40339;0.0;Faible
40342;0.0;Faible
40343;42.4;Modere
40344;0.0;Faible
40345;0.0;Faible
40346;0.0;Faible
40347;0.0;Faible
40348;0.0;Faible
40349;0.0;Faible
40350;0.0;Faible
40351;26.9;Faible
40352;0.0;Faible
40353;0.0;Faible
40354;0.0;Faible
40357;0.0;Faible
40358;41.9;Modere
40359;0.0;Faible
40361;0.0;Faible
40362;0.0;Faible
40363;0.0;Faible
40364;0.0;Faible
40365;0.0;Faible
40366;9.4;Faible
40368;0.0;Faible
40369;0.0;Faible
40370;0.0;Faible
40371;0.0;Faible
40372;0.0;Faible
40373;68.2;Eleve
40374;0.0;Faible
40375;66.2;Eleve
40376;0.0;Faible
40378;0.0;Faible
40381;0.0;Faible
40384;0.0;Faible
40385;0.0;Faible
40386;79.2;Critique
40387;0.0;Faible
40388;0.0;Faible
40389;0.0;Faible
40390;54.4;Eleve
40391;0.0;Faible
40392;0.0;Faible
40393;0.0;Faible
40394;0.0;Faible
40395;0.0;Faible
40396;0.0;Faible
40398;0.0;Faible
40399;0.0;Faible
40400;0.0;Faible
40401;0.0;Faible
40403;0.0;Faible
40405;0.0;Faible
40406;64.5;Eleve
40407;0.0;Faible
40408;0.0;Faible
40409;0.0;Faible
40410;0.0;Faible
40411;0.0;Faible
40412;0.0;Faible
40413;0.0;Faible
40414;0.0;Faible
40415;0.0;Faible
40416;0.0;Faible
40418;9.1;Faible
40419;0.0;Faible
40420;0.0;Faible
40422;0.0;Faible
40423;0.0;Faible
40424;0.0;Faible
40425;0.0;Faible
40426;0.0;Faible
40427;0.0;Faible
40428;12.1;Faible
40429;61.0;Eleve
40430;0.0;Faible
40431;0.0;Faible
40432;0.0;Faible
40434;0.0;Faible
40435;0.0;Faible
40436;0.0;Faible
40437;0.0;Faible
40438;0.0;Faible
40439;0.0;Faible
40441;0.0;Faible
40442;0.0;Faible
40443;0.0;Faible
40444;0.0;Faible
40446;63.7;Eleve
40447;0.0;Faible
40448;0.0;Faible
40449;0.0;Faible
40450;0.0;Faible
40451;0.0;Faible
40452;0.0;Faible
40453;0.0;Faible
40454;0.0;Faible
40455;0.0;Faible
40456;0.0;Faible
40458;0.0;Faible
40459;0.0;Faible
40460;18.8;Faible
40461;67.2;Eleve
40463;0.0;Faible
40464;0.0;Faible
40466;0.0;Faible
40467;0.0;Faible
40469;0.0;Faible
40470;0.0;Faible
40472;0.0;Faible
40473;0.0;Faible
40474;0.0;Faible
40475;0.0;Faible
40476;0.0;Faible
40477;0.0;Faible
40479;11.4;Faible
40481;0.0;Faible
40482;0.0;Faible
40485;0.0;Faible
40486;0.0;Faible
40487;0.0;Faible
40488;26.8;Faible
40489;0.0;Faible
40490;0.0;Faible
40491;0.0;Faible
40493;0.0;Faible
40495;0.0;Faible
40498;0.0;Faible
40499;46.9;Modere
40500;0.0;Faible
40502;15.1;Faible
40503;0.0;Faible
40505;0.0;Faible
40508;0.0;Faible
40510;0.0;Faible
40511;0.0;Faible
40512;31.9;Modere
40513;0.0;Faible
40514;0.0;Faible
40515;0.0;Faible
40516;17.3;Faible
40518;0.0;Faible
40519;0.0;Faible
40520;0.0;Faible
40521;0.0;Faible
40522;0.0;Faible
40523;0.0;Faible
40524;0.0;Faible
40525;0.0;Faible
40526;0.0;Faible
40527;0.0;Faible
40528;0.0;Faible
40529;0.0;Faible
40530;0.0;Faible
40531;52.6;Eleve
40534;0.0;Faible
40535;0.0;Faible
40536;0.0;Faible
40537;0.0;Faible
40538;0.0;Faible
40539;0.0;Faible
40541;0.0;Faible
40542;0.0;Faible
40543;0.0;Faible
40545;18.6;Faible
40548;0.0;Faible
40549;12.8;Faible
40553;23.4;Faible
40554;0.0;Faible
40555;72.4;Critique
40558;0.0;Faible
40559;0.0;Faible
40562;0.0;Faible
40564;0.0;Faible
40565;0.0;Faible
40566;0.0;Faible
40568;24.1;Faible
40570;0.0;Faible
40572;64.0;Eleve
40573;0.0;Faible
40574;0.0;Faible
40575;42.5;Modere
40577;24.0;Faible
40578;0.0;Faible
40579;16.2;Faible
40580;0.0;Faible
40581;0.0;Faible
40582;0.0;Faible
40583;0.0;Faible
40584;0.0;Faible
40585;0.0;Faible
40586;0.0;Faible
40587;0.0;Faible
40589;0.0;Faible
40590;0.0;Faible
40591;0.0;Faible
40592;0.0;Faible
40593;0.0;Faible
40596;0.0;Faible
40597;0.0;Faible
40598;0.0;Faible
40599;0.0;Faible
40600;38.3;Modere
40601;0.0;Faible
40603;0.0;Faible
40604;0.0;Faible
40606;21.1;Faible
40607;0.0;Faible
40608;0.0;Faible
40610;0.0;Faible
40612;0.0;Faible
40613;0.0;Faible
40614;0.0;Faible
40616;0.0;Faible
40617;0.0;Faible
40618;0.0;Faible
40619;0.0;Faible
40620;0.0;Faible
40622;36.5;Modere
40623;0.0;Faible
40624;85.8;Critique
40625;36.6;Modere
40626;0.0;Faible
40627;0.0;Faible
40629;0.0;Faible
40630;0.0;Faible
40632;0.0;Faible
40633;0.0;Faible
40634;0.0;Faible
40635;0.0;Faible
40636;0.0;Faible
40639;0.0;Faible
40640;0.0;Faible
40641;51.9;Eleve
40642;0.0;Faible
40644;0.0;Faible
40645;0.0;Faible
40646;0.0;Faible
40647;0.0;Faible
40648;0.0;Faible
40649;0.0;Faible
40650;0.0;Faible
40651;48.3;Modere
40652;0.0;Faible
40653;0.0;Faible
40655;28.4;Faible
40657;0.0;Faible
40659;56.7;Eleve
40660;0.0;Faible
40663;55.3;Eleve
40664;0.0;Faible
40665;0.0;Faible
40666;0.0;Faible
40667;0.0;Faible
40669;0.0;Faible
40670;0.0;Faible
40672;0.0;Faible
40674;0.0;Faible
40675;64.6;Eleve
40676;81.2;Critique
40677;64.6;Eleve
40678;37.2;Modere
40679;0.0;Faible
40681;56.5;Eleve
40682;69.7;Eleve
40684;0.0;Faible
40685;0.0;Faible
40686;0.0;Faible
40687;0.0;Faible
40688;0.0;Faible
40689;0.0;Faible
40691;0.0;Faible
40692;40.1;Modere
40693;0.0;Faible
40695;0.0;Faible
40696;0.0;Faible
40697;0.0;Faible
40699;19.9;Faible
40700;0.0;Faible
40701;0.0;Faible
40702;0.0;Faible
40704;0.0;Faible
40705;9.8;Faible
40706;0.0;Faible
40707;0.0;Faible
40708;0.0;Faible
40710;0.0;Faible
40712;0.0;Faible
40713;8.6;Faible
40715;0.0;Faible
40716;0.0;Faible
40717;13.7;Faible
40718;0.0;Faible
40719;0.0;Faible
40720;0.0;Faible
40721;0.0;Faible
40722;85.5;Critique
40724;0.0;Faible
40725;0.0;Faible
40726;0.0;Faible
40730;9.1;Faible
40731;0.0;Faible
40732;0.0;Faible
40734;59.1;Eleve
40735;0.0;Faible
40736;61.5;Eleve
40737;0.0;Faible
40739;0.0;Faible
40742;18.3;Faible
40744;12.1;Faible
40745;20.6;Faible
40746;0.0;Faible
40747;11.9;Faible
40749;0.0;Faible
40750;0.0;Faible
40751;0.0;Faible
40752;0.0;Faible
40753;0.0;Faible
40754;0.0;Faible
40755;0.0;Faible
40756;70.2;Critique
40757;0.0;Faible
40758;0.0;Faible
40760;0.0;Faible
40761;3.4;Faible
40762;0.0;Faible
40763;0.0;Faible
40764;0.0;Faible
40765;40.7;Modere
40766;0.0;Faible
40767;0.0;Faible
40769;0.0;Faible
40771;0.0;Faible
40773;0.0;Faible
40775;71.8;Critique
40776;0.0;Faible
40779;12.4;Faible
40780;0.0;Faible
40783;0.0;Faible
40785;6.9;Faible
40786;0.0;Faible
40787;0.0;Faible
40788;0.0;Faible
40789;0.0;Faible
40790;0.0;Faible
40791;0.0;Faible
40792;0.0;Faible
40793;0.0;Faible
40794;0.0;Faible
40795;29.5;Faible
40796;34.3;Modere
40797;0.0;Faible
40798;0.0;Faible
40799;49.0;Modere
40800;5.6;Faible
40801;0.0;Faible
40802;0.0;Faible
40803;0.0;Faible
40804;0.0;Faible
40805;0.0;Faible
40807;0.0;Faible
40808;0.0;Faible
40811;19.8;Faible
40812;0.0;Faible
40813;41.5;Modere
40814;0.0;Faible
40815;0.0;Faible
40816;0.0;Faible
40817;0.0;Faible
40818;0.0;Faible
40819;0.0;Faible
40821;13.5;Faible
40823;0.0;Faible
40824;0.0;Faible
40827;0.0;Faible
40828;0.0;Faible
40830;0.0;Faible
40831;0.0;Faible
40832;0.0;Faible
40833;23.9;Faible
40834;0.0;Faible
40835;0.0;Faible
40836;0.0;Faible
40837;0.0;Faible
40838;29.1;Faible
40839;0.0;Faible
40840;0.0;Faible
40841;0.0;Faible
40842;0.0;Faible
40843;0.0;Faible
40845;0.0;Faible
40846;0.0;Faible
40847;0.0;Faible
40848;0.0;Faible
40849;0.0;Faible
40851;46.1;Modere
40852;0.0;Faible
40854;0.0;Faible
40855;0.0;Faible
40856;0.0;Faible
40857;0.0;Faible
40858;48.2;Modere
40860;0.0;Faible
40861;0.0;Faible
40862;0.0;Faible
40863;0.0;Faible
40864;0.0;Faible
40865;0.0;Faible
40866;0.0;Faible
40867;0.0;Faible
40868;0.0;Faible
40869;57.9;Eleve
40870;0.0;Faible
40872;62.4;Eleve
40873;80.0;Critique
40874;0.0;Faible
40875;0.0;Faible
40876;0.0;Faible
40877;0.0;Faible
40878;0.0;Faible
40879;0.0;Faible
40880;0.0;Faible
40881;0.0;Faible
40882;0.0;Faible
40883;48.0;Modere
40884;0.0;Faible
40887;0.0;Faible
40888;0.0;Faible
40889;0.0;Faible
40890;0.0;Faible
40892;0.0;Faible
40894;31.6;Modere
40895;59.6;Eleve
40897;0.0;Faible
40898;8.4;Faible
40899;0.0;Faible
40900;0.0;Faible
40902;0.0;Faible
40904;0.0;Faible
40906;0.0;Faible
40907;0.0;Faible
40908;13.6;Faible
40909;0.0;Faible
40910;0.0;Faible
40911;0.0;Faible
40912;0.0;Faible
40914;0.0;Faible
40916;0.0;Faible
40917;0.0;Faible
40918;0.0;Faible
40919;18.1;Faible
40920;0.0;Faible
40921;11.5;Faible
40923;0.0;Faible
40924;0.0;Faible
40925;34.4;Modere
40926;0.0;Faible
40927;0.0;Faible
40928;0.0;Faible
40930;0.0;Faible
40931;34.7;Modere
40932;0.0;Faible
40933;31.4;Modere
40934;14.2;Faible
40935;0.0;Faible
40936;0.0;Faible
40938;0.0;Faible
40939;69.9;Eleve
40940;0.1;Faible
40942;0.0;Faible
40944;0.0;Faible
40946;0.0;Faible
40948;0.0;Faible
40949;0.0;Faible
40950;0.0;Faible
40951;0.0;Faible
40952;0.0;Faible
40953;0.0;Faible
40954;0.0;Faible
40955;0.0;Faible
40956;0.0;Faible
40958;0.0;Faible
40959;9.4;Faible
40961;0.0;Faible
40962;0.0;Faible
40963;70.6;Critique
40964;17.9;Faible
40965;0.0;Faible
40966;0.0;Faible
40967;0.0;Faible
40968;0.0;Faible
40969;0.0;Faible
40970;65.1;Eleve
40971;66.4;Eleve
40972;0.0;Faible
40973;0.0;Faible
40974;0.0;Faible
40975;0.0;Faible
40976;0.0;Faible
40977;0.0;Faible
40979;31.4;Modere
40980;0.0;Faible
40982;0.0;Faible
40983;0.0;Faible
40985;37.8;Modere
40986;39.1;Modere
40987;0.0;Faible
40988;0.0;Faible
40989;0.0;Faible
40990;26.1;Faible
40991;0.0;Faible
40993;0.0;Faible
40994;0.0;Faible
40995;0.0;Faible
40996;0.0;Faible
40997;0.0;Faible
40998;0.0;Faible
40999;0.0;Faible
41000;76.0;Critique
41001;9.2;Faible
41002;0.0;Faible
41003;0.0;Faible
41004;0.0;Faible
41005;0.0;Faible
41006;0.0;Faible
41007;75.6;Critique
41008;0.0;Faible
41010;0.0;Faible
41011;0.0;Faible
41012;0.0;Faible
41013;0.0;Faible
41014;0.0;Faible
41015;0.0;Faible
41016;39.3;Modere
41018;0.0;Faible
41020;0.0;Faible
41021;0.0;Faible
41022;6.2;Faible
41023;0.0;Faible
41025;0.0;Faible
41028;52.3;Eleve
41029;41.7;Modere
41030;0.0;Faible
41031;14.0;Faible
41032;35.9;Modere
41033;56.5;Eleve
41034;26.8;Faible
41035;0.0;Faible
41036;0.0;Faible
41037;0.0;Faible
41039;46.6;Modere
41040;6.6;Faible
41041;0.0;Faible
41042;0.0;Faible
41043;0.0;Faible
41044;43.7;Modere
41046;0.0;Faible
41049;0.0;Faible
41050;60.1;Eleve
41051;0.0;Faible
41052;0.0;Faible
41053;22.2;Faible
41054;0.0;Faible
41055;0.0;Faible
41057;39.4;Modere
41058;0.0;Faible
41059;0.0;Faible
41060;0.0;Faible
41061;0.0;Faible
41062;0.0;Faible
41063;0.0;Faible
41065;0.0;Faible
41066;0.0;Faible
41067;12.1;Faible
41069;0.0;Faible
41071;0.0;Faible
41072;0.0;Faible
41073;69.0;Eleve
41074;0.0;Faible
41075;0.0;Faible
41076;0.0;Faible
41077;0.0;Faible
41078;0.0;Faible
41079;71.8;Critique
41080;0.0;Faible
41082;22.0;Faible
41083;0.0;Faible
41084;0.0;Faible
41085;0.0;Faible
41086;0.0;Faible
41087;0.0;Faible
41088;0.0;Faible
41089;0.0;Faible
41090;0.0;Faible
41091;0.0;Faible
41092;0.0;Faible
41094;0.0;Faible
41096;0.0;Faible
41098;23.8;Faible
41099;38.9;Modere
41100;0.0;Faible
41101;0.0;Faible
41103;0.0;Faible
41104;0.0;Faible
41105;0.0;Faible
41106;48.4;Modere
41107;0.0;Faible
41109;0.0;Faible
41110;0.0;Faible
41111;0.0;Faible
41112;0.0;Faible
41114;0.0;Faible
41115;0.0;Faible
41116;0.0;Faible
41118;0.0;Faible
41119;0.0;Faible
41120;0.0;Faible
41123;0.0;Faible
41124;0.0;Faible
41125;63.0;Eleve
41126;0.0;Faible
41131;0.0;Faible
41132;0.0;Faible
41134;0.0;Faible
41135;0.0;Faible
41136;0.0;Faible
41137;0.0;Faible
41138;0.0;Faible
41139;0.0;Faible
41140;0.0;Faible
41141;0.0;Faible
41142;5.6;Faible
41143;0.0;Faible
41144;0.0;Faible
41145;0.0;Faible
41149;0.0;Faible
41150;0.0;Faible
41151;0.0;Faible
41152;0.0;Faible
41153;31.5;Modere
41154;12.0;Faible
41157;0.0;Faible
41158;0.0;Faible
41160;77.8;Critique
41162;0.0;Faible
41163;0.0;Faible
41165;0.0;Faible
41168;0.0;Faible
41170;0.0;Faible
41172;16.9;Faible
41173;0.0;Faible
41175;12.0;Faible
41178;0.0;Faible
41179;0.0;Faible
41180;0.0;Faible
41181;0.0;Faible
41182;0.0;Faible
41183;0.0;Faible
41184;7.6;Faible
41185;0.0;Faible
41186;0.0;Faible
41188;12.8;Faible
41189;60.6;Eleve
41190;0.0;Faible
41191;43.4;Modere
41193;0.0;Faible
41194;33.3;Modere
41195;0.0;Faible
41196;0.0;Faible
41197;22.4;Faible
41198;0.0;Faible
41199;0.0;Faible
41200;0.0;Faible
41202;0.0;Faible
41203;0.0;Faible
41204;0.0;Faible
41205;0.0;Faible
41206;46.2;Modere
41208;0.0;Faible
41209;0.0;Faible
41211;51.6;Eleve
41212;0.0;Faible
41213;0.0;Faible
41216;0.0;Faible
41217;58.1;Eleve
41218;0.0;Faible
41219;34.0;Modere
41223;0.0;Faible
41224;0.0;Faible
41225;0.0;Faible
41227;0.0;Faible
41228;0.0;Faible
41229;0.0;Faible
41231;0.0;Faible
41232;0.0;Faible
41233;0.0;Faible
41234;44.0;Modere
41235;82.9;Critique
41236;32.7;Modere
41237;58.1;Eleve
41238;0.0;Faible
41239;0.0;Faible
41242;0.0;Faible
41243;0.0;Faible
41245;0.0;Faible
41246;0.0;Faible
41248;0.0;Faible
41249;9.7;Faible
41252;0.0;Faible
41253;43.5;Modere
41255;0.0;Faible
41256;6.6;Faible
41257;0.0;Faible
41258;64.1;Eleve
41259;0.0;Faible
41261;9.4;Faible
41262;34.1;Modere
41263;0.0;Faible
41264;52.3;Eleve
41265;0.0;Faible
41266;0.0;Faible
41267;0.0;Faible
41269;0.0;Faible
41270;0.0;Faible
41271;0.0;Faible
41272;0.0;Faible
41273;0.0;Faible
41274;0.0;Faible
41275;15.5;Faible
41277;40.4;Modere
41278;0.0;Faible
41279;0.0;Faible
41280;19.1;Faible
41282;0.0;Faible
41283;0.0;Faible
41284;32.5;Modere
41285;0.0;Faible
41286;25.8;Faible
41287;0.0;Faible
41289;0.0;Faible
41290;0.0;Faible
41292;0.0;Faible
41293;0.0;Faible
41295;0.0;Faible
41296;0.0;Faible
41297;0.0;Faible
41298;0.0;Faible
41299;0.0;Faible
41300;0.0;Faible
41301;0.0;Faible
41302;54.7;Eleve
41304;77.8;Critique
41305;0.0;Faible
41306;0.0;Faible
41307;0.0;Faible
41308;0.0;Faible
41309;0.0;Faible
41310;75.4;Critique
41311;0.0;Faible
41312;0.0;Faible
41313;0.0;Faible
41314;0.0;Faible
41315;0.0;Faible
41316;0.0;Faible
41317;27.0;Faible
41318;17.7;Faible
41319;61.6;Eleve
41320;10.4;Faible
41322;0.0;Faible
41323;0.0;Faible
41324;0.0;Faible
41326;0.0;Faible
41328;0.0;Faible
41329;30.3;Modere
41330;75.9;Critique
41331;0.0;Faible
41332;0.0;Faible
41333;0.0;Faible
41334;0.0;Faible
41336;0.0;Faible
41337;0.0;Faible
41338;0.0;Faible
41339;41.4;Modere
41340;0.0;Faible
41341;0.0;Faible
41343;27.6;Faible
41344;0.0;Faible
41345;0.0;Faible
41346;0.0;Faible
41347;0.0;Faible
41348;70.5;Critique
41349;5.3;Faible
41350;0.0;Faible
41351;66.2;Eleve
41352;0.0;Faible
41353;0.0;Faible
41354;36.0;Modere
41355;0.0;Faible
41356;0.0;Faible
41357;0.0;Faible
41358;10.3;Faible
41359;0.0;Faible
41360;0.0;Faible
41362;0.0;Faible
41363;0.0;Faible
41365;0.0;Faible
41366;77.2;Critique
41367;0.0;Faible
41368;0.0;Faible
41369;12.4;Faible
41370;0.0;Faible
41372;0.0;Faible
41373;42.7;Modere
41374;0.0;Faible
41376;0.0;Faible
41377;0.0;Faible
41379;0.0;Faible
41380;0.0;Faible
41382;0.0;Faible
41383;24.3;Faible
41384;0.0;Faible
41385;0.0;Faible
41386;0.0;Faible
41387;0.0;Faible
41389;0.0;Faible
41390;0.0;Faible
41391;0.0;Faible
41392;0.0;Faible
41393;0.0;Faible
41394;0.0;Faible
41395;0.0;Faible
41396;0.0;Faible
41397;6.7;Faible
41399;0.0;Faible
41400;37.5;Modere
41402;0.0;Faible
41403;0.0;Faible
41404;0.0;Faible
41405;0.0;Faible
41406;0.0;Faible
41407;0.0;Faible
41408;23.8;Faible
41410;0.0;Faible
41412;11.3;Faible
41413;0.0;Faible
41415;0.0;Faible
41416;13.0;Faible
41417;0.0;Faible
41418;0.0;Faible
41420;54.7;Eleve
41421;0.0;Faible
41423;82.5;Critique
41424;0.0;Faible
41425;0.0;Faible
41426;0.0;Faible
41427;0.0;Faible
41428;0.0;Faible
41429;44.7;Modere
41430;0.0;Faible
41432;0.0;Faible
41433;0.0;Faible
41435;0.0;Faible
41436;0.0;Faible
41437;9.2;Faible
41438;0.0;Faible
41439;0.0;Faible
41441;42.6;Modere
41442;0.0;Faible
41444;0.0;Faible
41445;0.0;Faible
41446;0.0;Faible
41447;0.0;Faible
41448;0.0;Faible
41449;0.0;Faible
41450;0.0;Faible
41451;91.7;Critique
41452;0.0;Faible
41453;48.1;Modere
41454;0.0;Faible
41455;0.0;Faible
41456;0.0;Faible
41457;0.0;Faible
41459;0.0;Faible
41460;0.0;Faible
41461;0.0;Faible
41462;0.0;Faible
41463;32.5;Modere
41464;0.0;Faible
41465;44.0;Modere
41466;0.0;Faible
41469;0.0;Faible
41470;4.8;Faible
41472;0.0;Faible
41473;0.0;Faible
41474;15.6;Faible
41476;0.0;Faible
41477;0.0;Faible
41478;10.4;Faible
41479;0.0;Faible
41480;0.0;Faible
41481;0.0;Faible
41483;0.0;Faible
41484;0.0;Faible
41486;0.0;Faible
41487;0.0;Faible
41488;0.0;Faible
41489;52.4;Eleve
41490;0.0;Faible
41491;0.0;Faible
41492;0.0;Faible
41493;0.0;Faible
41494;0.0;Faible
41495;0.0;Faible
41498;0.0;Faible
41499;34.8;Modere
41500;0.0;Faible
41502;0.0;Faible
41503;0.0;Faible
41505;0.0;Faible
41506;49.3;Modere
41509;68.5;Eleve
41510;62.4;Eleve
41511;0.0;Faible
41512;38.0;Modere
41513;0.0;Faible
41514;0.0;Faible
41515;0.0;Faible
41516;0.0;Faible
41517;58.1;Eleve
41518;0.0;Faible
41520;0.0;Faible
41522;0.0;Faible
41523;0.0;Faible
41525;33.4;Modere
41527;15.6;Faible
41529;0.0;Faible
41534;0.0;Faible
41535;76.5;Critique
41536;0.0;Faible
41537;0.0;Faible
41538;0.0;Faible
41539;0.0;Faible
41541;0.0;Faible
41542;0.0;Faible
41543;15.9;Faible
41544;0.0;Faible
41545;0.0;Faible
41546;31.2;Modere
41547;0.0;Faible
41549;0.0;Faible
41550;36.3;Modere
41551;8.3;Faible
41552;0.0;Faible
41553;0.0;Faible
41554;0.0;Faible
41555;0.0;Faible
41556;0.1;Faible
41557;0.0;Faible
41559;63.0;Eleve
41560;0.0;Faible
41561;33.1;Modere
41562;0.0;Faible
41563;0.0;Faible
41565;0.0;Faible
41566;0.0;Faible
41568;0.0;Faible
41569;0.0;Faible
41570;0.0;Faible
41571;0.0;Faible
41572;0.0;Faible
41573;0.0;Faible
41574;0.0;Faible
41576;0.0;Faible
41577;66.3;Eleve
41578;20.2;Faible
41579;0.0;Faible
41580;0.1;Faible
41581;0.0;Faible
41583;0.0;Faible
41584;0.0;Faible
41585;0.0;Faible
41586;61.3;Eleve
41587;0.0;Faible
41588;0.0;Faible
41589;20.2;Faible
41590;0.0;Faible
41591;0.0;Faible
41592;0.0;Faible
41593;0.0;Faible
41596;0.0;Faible
41597;0.0;Faible
41598;0.0;Faible
41599;0.0;Faible
41601;0.0;Faible
41602;0.0;Faible
41603;0.0;Faible
41604;44.7;Modere
41607;82.2;Critique
41608;0.0;Faible
41609;56.5;Eleve
41611;0.0;Faible
41612;0.0;Faible
41613;0.0;Faible
41614;0.0;Faible
